Parameter,Value,Units,Source
Average payload,18811.82,kg,VIUS 2002
Max gross vehicle weight,36287.39,kg,"80,000 lb"
Diesel tractor weight,17000,lb,
Auxiliary power,5000,W,https://journals.sagepub.com/eprint/SYQUFKQNQIKSATCPDXCW/full
Max motor power,370000,W,https://journals.sagepub.com/eprint/SYQUFKQNQIKSATCPDXCW/full
Drag coefficient,0.36,,https://www.notateslaapp.com/tesla-reference/963/everything-we-know-about-the-tesla-semi
Resistance coefficient,0.0044,,Best value from https://www.lrrb.org/pdf/201539.pdf
Frontal cabin area,10.7,m^2,
Engine efficiency,0.421,,", http://theicct.org/sites/default/files/publications/EU-HDV-Tech-Potential_ICCT-white-paper_14072017_vF.pdf, https://pdf.sciencedirectassets.com/306647/3-s2.0-C20130163027/3-s2.0-B9780857095220500091/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAcaCXVzLWVhc3QtMSJIMEYCIQDK1Mdwo%2FY9e7xeZCRvNDgMTpMPLDhTFYCVYtSc0uZGkgIhAMvVsmYkDDSSXudHsr5oVvaKNycUaatyzrVH6k1T8yO5KrMFCGAQBRoMMDU5MDAzNTQ2ODY1Igy4dvD5%2FMfwDIwV3XsqkAWDFQgpDlzkCt3jnpgLSXGbEsYVqQg%2FjN8nS18%2Fxbc9XxHoGVkF6mU1AX7IzSsgcU9Cv0%2FJ7MToI6n6diMBrBXQ22%2F620jzOUZLxjNcu6xpuzXowxszZjhzycqO%2BfPFmfDnjFO4czE%2BPxItiZJ%2BX%2FEDsMnxqYMXIvRvKPd2Qzd6Irkr04dr6QB9nm8RknkCq307OuOK7vdSyG6CeXHeekmnvbFpi4v1DDH%2Bbhq3pm3xOLGUwLI%2Bcoi3a5Xl1CXLDGZvHJCLSQ%2BrnGLrxvDNBzXa65iWuLJBe3rA1gAuZQlsdhfkNhyVFs46EtvCplEJN3rStGjoTKT6hntSwQ2p0wGgs3xeRpGIn7Mi8Y6Q%2BVsD%2FXI%2F%2BbKsZbMvitq9gYNeqEZuN2KVaT5S8pIjK0F8U6x6VEtxWQMPn9LiMLMyzmj4qjgIqPU4YToTcK5Z6Dvp9Hf9OHbnALb6CWEXYMIp8VW2J79BkMTgfIELujpzr0yiG8lFDM13wCBpN1UqYZUh7FlE85ITXv5SihGeA8W0Mgqup%2FHnljux0H6rDO5MFuoT8YEYPapxPbco6MgNixZvmSQlgrpZ3yiH38EQpzLG5U5EO3b75xYyPKBAsPQmHSZGF4CIL%2B1eERX3nMiGDzvIlcIsyLrtiZLku7BsozE0TVeGRFB7F1SlGUzAqvN%2FUx%2F%2B%2BxXbUi%2BHzpVfSX%2FHS3ofHzilvStyrVQcfpcYhQJnPp7eFECCoamaLxxNE7Bi%2FOov9VWQvq%2BWVUgbnqWntXqv%2Fk8FpVC4P47urDGTwhG2OwAicwPsXWD5lmqPC1Hc22jKrgFsVuRN3mXU0ZdS1roPKdVrhEbswKlV6eL9GqcgaVSLNWgQawoAm1l4I%2BHlFJ9UdjDUxs6xBjqwARbJAw3ramTX3oZlgBt2cDi88txCt5fAg0Z7MHXu3DZ6a7BlxQ7Bh8ZisZWrnX0Ixet7So%2FLI2LQJ4SuR%2FimXKDLKc0%2BktJk5TFxo5BgSkqOi0DB%2Bg2bD%2Bc99elFAY3deaCVBmOsz5Vg%2FSR3qtN4wRZpLR2jN9W%2B806U2gc1G5eoj32ZHs6JpVmRlg6zIoiSB30FYze%2FVd1PL1JasYKj6xDEj4LlEGgteJpfhkWJgkML&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240502T152908Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYV56DSBV6%2F20240502%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e73ee43259030f2875697f2488973bf90a00308212c49abe59643301d46e5a0b&hash=6069872aa4584ff10b5a2f0983521f040689741245cf3120c828537560ea36c6&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=B9780857095220500091&tid=spdf-7deaeab9-b271-41c3-8b01-c9d2d7ee372c&sid=76bd06042d23a0473f4805b-29b73d155356gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=161d59580b5652055f&rr=87d90b892c678ff6&cc=us"
Transmission efficiency,0.99,,Maximum reported on p 39 of http://theicct.org/sites/default/files/publications/EU-HDV-Tech-Potential_ICCT-white-paper_14072017_vF.pdf
