,State,PADD Region,Average Price ($/gal),Standard Deviation ($/gal)
0,Connecticut,New England,4.2355266128538,0.9197710421320934
1,Maine,New England,4.2355266128538,0.9197710421320934
2,Massachusetts,New England,4.2355266128538,0.9197710421320934
3,New Hampshire,New England,4.2355266128538,0.9197710421320934
4,Rhode Island,New England,4.2355266128538,0.9197710421320934
5,Vermont,New England,4.2355266128538,0.9197710421320934
6,Delaware,Central Atlantic,4.352536482874365,0.8791935230784985
7,District of Columbia,Central Atlantic,4.352536482874365,0.8791935230784985
8,Maryland,Central Atlantic,4.352536482874365,0.8791935230784985
9,New Jersey,Central Atlantic,4.352536482874365,0.8791935230784985
10,New York,Central Atlantic,4.352536482874365,0.8791935230784985
11,Pennsylvania,Central Atlantic,4.352536482874365,0.8791935230784985
12,Florida,Lower Atlantic,3.9698768264033717,0.8369967004069961
13,Georgia,Lower Atlantic,3.9698768264033717,0.8369967004069961
14,North Carolina,Lower Atlantic,3.9698768264033717,0.8369967004069961
15,South Carolina,Lower Atlantic,3.9698768264033717,0.8369967004069961
16,Virginia,Lower Atlantic,3.9698768264033717,0.8369967004069961
17,West Virginia,Lower Atlantic,3.9698768264033717,0.8369967004069961
18,Illinois,Midwest,3.9503462385102717,0.8348849292164802
19,Indiana,Midwest,3.9503462385102717,0.8348849292164802
20,Iowa,Midwest,3.9503462385102717,0.8348849292164802
21,Kansas,Midwest,3.9503462385102717,0.8348849292164802
22,Kentucky,Midwest,3.9503462385102717,0.8348849292164802
23,Michigan,Midwest,3.9503462385102717,0.8348849292164802
24,Minnesota,Midwest,3.9503462385102717,0.8348849292164802
25,Missouri,Midwest,3.9503462385102717,0.8348849292164802
26,Nebraska,Midwest,3.9503462385102717,0.8348849292164802
27,North Dakota,Midwest,3.9503462385102717,0.8348849292164802
28,Ohio,Midwest,3.9503462385102717,0.8348849292164802
29,Oklahoma,Midwest,3.9503462385102717,0.8348849292164802
30,South Dakota,Midwest,3.9503462385102717,0.8348849292164802
31,Tennessee,Midwest,3.9503462385102717,0.8348849292164802
32,Wisconsin,Midwest,3.9503462385102717,0.8348849292164802
33,Alabama,Gulf Coast,3.7608622876892683,0.8077221677318607
34,Arkansas,Gulf Coast,3.7608622876892683,0.8077221677318607
35,Louisiana,Gulf Coast,3.7608622876892683,0.8077221677318607
36,Mississippi,Gulf Coast,3.7608622876892683,0.8077221677318607
37,New Mexico,Gulf Coast,3.7608622876892683,0.8077221677318607
38,Texas,Gulf Coast,3.7608622876892683,0.8077221677318607
39,Colorado,Rocky Mountain,4.099919819798702,0.8450947022840576
40,Idaho,Rocky Mountain,4.099919819798702,0.8450947022840576
41,Montana,Rocky Mountain,4.099919819798702,0.8450947022840576
42,Utah,Rocky Mountain,4.099919819798702,0.8450947022840576
43,Wyoming,Rocky Mountain,4.099919819798702,0.8450947022840576
44,Alaska,Rest of West Coast,4.314738861427289,0.8453460327993355
45,Arizona,Rest of West Coast,4.314738861427289,0.8453460327993355
47,Hawaii,Rest of West Coast,4.314738861427289,0.8453460327993355
48,Nevada,Rest of West Coast,4.314738861427289,0.8453460327993355
49,Oregon,Rest of West Coast,4.314738861427289,0.8453460327993355
50,Washington,Rest of West Coast,4.314738861427289,0.8453460327993355
46,California,California,5.144218148011569,0.8823412967121422
